maximum_fitness,mean_fitness,quality_diversity,Algorithm,Benchmark
0.444572726709059,0.253377423258929,13.9357582792411,GB-EPI,0
0.281217762669931,0.130016397127373,5.85073787073176,GB-EPI,1
0.424380548709586,0.256966059165786,12.3343708399577,GB-EPI,0
0.200387366030148,0.093353475306253,5.69456199368143,GB-EPI,1
0.421020836860783,0.283339597864581,13.6003006974999,GB-EPI,0
0.2335391137574,0.124987893705578,6.24939468527889,GB-EPI,1
0.401382202808613,0.236455918170885,15.8425465174493,GB-EPI,0
0.236995178865499,0.126903415066608,5.83755709306399,GB-EPI,1
0.403046539670979,0.265849073652879,13.292453682644,GB-EPI,0
0.22955452917549,0.124451351164765,5.84921350474398,GB-EPI,1
0.443254235343718,0.258031061363203,23.2227955226883,GB-BI,0
0.256546468222401,0.140103297707828,10.7879539235027,GB-BI,1
0.389820522524723,0.266199808677841,24.7565822070392,GB-BI,0
0.234550791682234,0.13372076595491,11.0988235742575,GB-BI,1
0.40040438287655,0.275413210216887,23.1347096582185,GB-BI,0
0.231724223716631,0.128097983798358,10.375936687667,GB-BI,1
0.378147601258139,0.270784884392426,22.7459302889638,GB-BI,0
0.244410567242297,0.146731277570715,11.4450396505158,GB-BI,1
0.359993972944908,0.252184867965703,22.948822984879,GB-BI,0
0.250698365133814,0.109338694036526,9.29378899310474,GB-BI,1
