Configuration,Percentage_Successful_Runs,Mean_Function_Calls
8,36.36363636363637,574.0
32,18.181818181818183,1890.0
0,100.0,628.9090909090909
14,36.36363636363637,419.0
31,72.72727272727273,1183.5
22,27.27272727272727,587.6666666666666
9,63.63636363636363,572.5714285714286
19,27.27272727272727,919.3333333333334
26,36.36363636363637,793.0
30,36.36363636363637,1791.25
16,54.54545454545454,1449.8333333333333
20,63.63636363636363,1036.4285714285713
29,45.45454545454545,1114.8
7,63.63636363636363,385.85714285714283
28,81.81818181818183,1132.0
12,54.54545454545454,1063.1666666666667
3,36.36363636363637,511.0
25,81.81818181818183,513.5555555555555
15,63.63636363636363,569.2857142857143
24,81.81818181818183,506.3333333333333
13,72.72727272727273,920.0
2,90.9090909090909,900.1
10,36.36363636363637,516.0
6,54.54545454545454,1096.5
4,72.72727272727273,655.5
21,36.36363636363637,629.0
17,45.45454545454545,1102.0
33,45.45454545454545,2682.8
27,63.63636363636363,538.0
35,0.0,0.0
5,81.81818181818183,348.44444444444446
11,45.45454545454545,1094.6
34,0.0,0.0
18,18.181818181818183,3112.5
1,90.9090909090909,1026.6
23,45.45454545454545,824.2
